EmpID,Age,AgeGroup,BusinessTravel,Department,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,Over18,RelationshipSatisfaction,StandardHours,WorkLifeBalance
RM297,18,18-25,Travel_Rarely,Research & Development,3,Life Sciences,1,405,3,Male,3,1,Laboratory Technician,3,Single,Y,3,80,3
RM302,18,18-25,Travel_Rarely,Sales,3,Medical,1,411,4,Female,2,1,Sales Representative,3,Single,Y,1,80,3
RM458,18,18-25,Travel_Frequently,Sales,3,Marketing,1,614,2,Male,3,1,Sales Representative,2,Single,Y,4,80,3
RM728,18,18-25,Non-Travel,Research & Development,2,Life Sciences,1,1012,2,Male,3,1,Research Scientist,4,Single,Y,4,80,3
RM829,18,18-25,Non-Travel,Research & Development,1,Medical,1,1156,3,Male,3,1,Laboratory Technician,3,Single,Y,4,80,3
RM973,18,18-25,Non-Travel,Research & Development,3,Life Sciences,1,1368,4,Female,3,1,Laboratory Technician,4,Single,Y,3,80,4
RM1154,18,18-25,Travel_Frequently,Sales,2,Medical,1,1624,2,Female,3,1,Sales Representative,4,Single,Y,3,80,4
RM1312,18,18-25,Non-Travel,Research & Development,3,Medical,1,1839,2,Female,3,1,Research Scientist,3,Single,Y,3,80,1
RM128,19,18-25,Travel_Rarely,Sales,1,Marketing,1,167,4,Male,3,1,Sales Representative,3,Single,Y,4,80,2
RM150,19,18-25,Travel_Rarely,Research & Development,1,Medical,1,201,2,Female,3,1,Laboratory Technician,2,Single,Y,4,80,3
RM172,19,18-25,Travel_Frequently,Sales,1,Technical Degree,1,235,3,Female,1,1,Sales Representative,1,Single,Y,1,80,4
RM178,19,18-25,Travel_Rarely,Research & Development,3,Life Sciences,1,243,2,Male,2,1,Laboratory Technician,4,Single,Y,3,80,2
RM423,19,18-25,Travel_Rarely,Human Resources,2,Technical Degree,1,566,1,Male,2,1,Human Resources,4,Single,Y,3,80,4
RM689,19,18-25,Travel_Rarely,Sales,3,Other,1,959,4,Male,2,1,Sales Representative,2,Single,Y,2,80,4
RM854,19,18-25,Travel_Rarely,Research & Development,2,Life Sciences,1,1193,3,Male,3,1,Research Scientist,1,Single,Y,3,80,3
RM893,19,18-25,Non-Travel,Research & Development,3,Medical,1,1248,1,Female,2,1,Research Scientist,2,Single,Y,2,80,4
RM910,19,18-25,Travel_Rarely,Research & Development,3,Life Sciences,1,1269,2,Female,4,1,Research Scientist,4,Single,Y,4,80,3
RM103,20,18-25,Travel_Frequently,Research & Development,3,Life Sciences,1,137,4,Female,2,1,Laboratory Technician,4,Single,Y,2,80,3
RM488,20,18-25,Travel_Rarely,Research & Development,3,Life Sciences,1,657,4,Female,2,1,Research Scientist,2,Single,Y,4,80,4
RM514,20,18-25,Travel_Rarely,Research & Development,1,Medical,1,701,4,Male,3,1,Research Scientist,3,Single,Y,4,80,3
RM663,20,18-25,Travel_Rarely,Sales,3,Medical,1,922,3,Female,2,1,Sales Representative,3,Single,Y,4,80,2
RM690,20,18-25,Travel_Rarely,Research & Development,3,Technical Degree,1,960,1,Male,3,1,Laboratory Technician,1,Single,Y,2,80,3
RM732,20,18-25,Travel_Rarely,Research & Development,3,Medical,1,1016,4,Female,2,1,Research Scientist,1,Single,Y,1,80,3
RM777,20,18-25,Travel_Frequently,Sales,3,Marketing,1,1077,4,Female,3,1,Sales Representative,4,Single,Y,2,80,3
RM857,20,18-25,Travel_Rarely,Research & Development,3,Life Sciences,1,1198,1,Male,2,1,Laboratory Technician,3,Single,Y,1,80,2
RM877,20,18-25,Travel_Rarely,Sales,3,Marketing,1,1226,3,Male,4,1,Sales Representative,4,Single,Y,4,80,3
RM1179,20,18-25,Travel_Rarely,Sales,3,Medical,1,1657,3,Female,3,1,Sales Representative,3,Single,Y,1,80,3
RM1198,20,18-25,Travel_Rarely,Sales,1,Life Sciences,1,1680,4,Male,3,1,Sales Representative,1,Single,Y,1,80,3
RM024,21,18-25,Travel_Rarely,Research & Development,2,Life Sciences,1,30,3,Male,3,1,Research Scientist,4,Single,Y,4,80,3
RM275,21,18-25,Travel_Rarely,Research & Development,2,Medical,1,379,4,Male,2,1,Research Scientist,3,Single,Y,1,80,4
RM358,21,18-25,Travel_Frequently,Sales,1,Technical Degree,1,478,1,Female,2,1,Sales Representative,2,Single,Y,3,80,3
